original_cluster	new_cluster																																																																																																																																																																																																																																																														
1	B-cells IgM+																																																																																																																																																																																																																																																														
2	surface-																																																																																																																																																																																																																																																														
3	NK cells																																																																																																																																																																																																																																																														
4	CD8 T-cells																																																																																																																																																																																																																																																														
5	B-cells IgM-																																																																																																																																																																																																																																																														
6	monocytes																																																																																																																																																																																																																																																														
7	CD8 T-cells																																																																																																																																																																																																																																																														
8	monocytes																																																																																																																																																																																																																																																														
9	CD4 T-cells																																																																																																																																																																																																																																																														
10	DC																																																																																																																																																																																																																																																														
11	CD4 T-cells																																																																																																																																																																																																																																																														
12	CD4 T-cells																																																																																																																																																																																																																																																														
